Membership No  Date Joined  Active  
    10407      2017-4-14    no    
    64890      2018-7-11    no    
    96725      2019-2-1     no    
    54775      2015-4-19    no    
    80195      2016-3-12    no    
    14239      2020-6-20    no    
    57681      2020-8-10    no    
    65772      2015-12-18   no    
    85417      2020-6-8     no    
    66730      2020-7-17    no    
    23439      2019-2-21    no    
    23184      2018-8-14    no    
    37784      2017-4-12    no    
    85417      2020-6-8     no    
    66730      2020-7-17    no    
    23439      2019-2-21    no    
    23184      2018-8-14    no    
    37784      2017-4-12    no    
