Membership No  Date Joined  Active  
    81521      2020-3-20    yes   
    27603      2020-2-2     yes   
    43862      2017-8-15    yes   
    37786      2016-5-20    yes   
    53142      2019-3-2     yes   
    15012      2018-3-25    yes   
    47656      2018-10-18   yes   
    94376      2020-4-2     yes   
    13030      2018-6-25    yes   
    14718      2020-1-6     yes   
    15012      2018-3-25    yes   
    47656      2018-10-18   yes   
    94376      2020-4-2     yes   
    13030      2018-6-25    yes   
    14718      2020-1-6     yes   
